City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
2,New Norfolk,AU,75.0,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
5,Labuhan,ID,76.19,overcast clouds,-6.88,112.21,bador sepret
7,Rikitea,PF,78.06,light rain,-23.12,-134.97,Pension Maro'i
16,Hobart,AU,75.0,scattered clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
17,Hilo,US,82.4,light rain,19.73,-155.09,Hilo Hawaiian Hotel
23,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
27,Butaritari,KI,81.54,overcast clouds,3.07,172.79,Isles Sunset Lodge
32,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
33,Puerto Ayora,EC,73.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
35,Nkayi,CG,74.37,overcast clouds,-4.18,13.29,Declaise de M'BAMA
36,Biltine,TD,70.45,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
41,Inhambane,MZ,80.13,broken clouds,-23.86,35.38,Oceano
43,Busselton,AU,75.99,few clouds,-33.65,115.33,Observatory Guest House
47,Vaini,TO,82.4,overcast clouds,-21.2,-175.2,Keleti Beach Resort
48,Mozarlandia,BR,79.45,overcast clouds,-14.74,-50.57,Hotel Santa Mônica
51,Matara,LK,74.19,clear sky,5.95,80.54,Amaloh Boutique Resort
53,Fare,PF,81.73,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
58,Saint-Leu,RE,75.2,clear sky,-21.15,55.28,La Caz Oceane
59,San Cristobal,VE,77.0,light rain,7.77,-72.22,Pirineos
63,Alofi,NU,84.2,light rain,-19.06,-169.92,Taloa Heights
66,Batticaloa,LK,75.83,few clouds,7.71,81.69,Grand Star Guest House
67,Loa Janan,ID,79.25,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
68,Faanui,PF,80.82,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
