City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kahului,US,20.89,-156.47,89.6,46,40,16.11,scattered clouds
1,Ostrovnoy,RU,68.05,39.51,16.61,92,91,12.66,overcast clouds
2,New Norfolk,AU,-42.78,147.06,75.0,44,59,1.99,broken clouds
3,Punta Arenas,CL,-53.15,-70.92,50.0,57,0,20.8,clear sky
4,Albany,US,42.6,-73.97,26.01,49,64,11.3,broken clouds
5,Labuhan,ID,-6.88,112.21,76.19,84,100,6.64,overcast clouds
6,Saldanha,ZA,-33.01,17.94,57.2,71,0,2.24,clear sky
7,Rikitea,PF,-23.12,-134.97,78.06,74,67,5.53,light rain
8,Mataura,NZ,-46.19,168.86,62.01,76,100,3.0,overcast clouds
9,Nuevo Ideal,MX,24.89,-105.07,60.04,32,0,19.08,clear sky
10,Kaitangata,NZ,-46.28,169.85,64.99,71,99,5.99,overcast clouds
11,Cape Town,ZA,-33.93,18.42,64.0,82,0,3.36,clear sky
12,Castro,BR,-24.79,-50.01,65.79,92,100,2.15,overcast clouds
13,Codrington,AU,-38.27,141.97,64.42,67,100,8.37,overcast clouds
14,Kruisfontein,ZA,-34.0,24.73,58.77,93,51,4.79,broken clouds
15,Westport,US,41.14,-73.36,32.0,46,1,6.93,clear sky
16,Hobart,AU,-42.88,147.33,75.0,45,40,6.93,scattered clouds
17,Hilo,US,19.73,-155.09,82.4,61,40,13.87,light rain
18,San Quintin,MX,30.48,-115.95,58.78,66,3,13.27,clear sky
19,Baran,IN,25.1,76.52,44.85,57,0,5.5,clear sky
20,Burns Lake,CA,54.23,-125.75,19.4,92,100,2.24,overcast clouds
21,Tonj,SS,7.27,28.68,74.68,31,4,2.28,clear sky
22,Talcahuano,CL,-36.72,-73.12,64.4,68,0,16.11,clear sky
23,Bambous Virieux,MU,-20.34,57.76,77.0,78,40,10.29,scattered clouds
24,Guerrero Negro,MX,27.98,-114.06,60.66,61,3,17.54,clear sky
25,Vila Franca Do Campo,PT,37.72,-25.43,51.8,87,40,6.93,scattered clouds
26,Ust-Kuyga,RU,70.02,135.6,-23.84,85,97,3.47,overcast clouds
27,Butaritari,KI,3.07,172.79,81.54,81,97,19.75,overcast clouds
28,Port Elizabeth,ZA,-33.92,25.57,64.4,88,0,8.05,clear sky
29,Jamestown,US,42.1,-79.24,19.0,67,1,1.92,clear sky
30,Bredasdorp,ZA,-34.53,20.04,59.0,82,0,3.36,clear sky
31,Severo-Kurilsk,RU,50.68,156.12,26.22,89,87,18.32,light snow
32,Kapaa,US,22.08,-159.32,80.6,69,1,6.93,clear sky
33,Puerto Ayora,EC,-0.74,-90.35,73.0,93,98,7.0,overcast clouds
34,Bethel,US,41.37,-73.41,28.4,50,1,3.36,clear sky
35,Nkayi,CG,-4.18,13.29,74.37,94,100,1.23,overcast clouds
36,Biltine,TD,14.53,20.92,70.45,25,0,6.69,clear sky
37,Shingu,JP,33.73,135.98,51.8,87,75,23.04,broken clouds
38,Saskylakh,RU,71.92,114.08,-23.69,85,99,12.39,overcast clouds
39,Bluff,NZ,-46.6,168.33,62.01,76,99,3.0,overcast clouds
40,Iqaluit,CA,63.75,-68.51,5.0,84,90,16.11,light snow
41,Inhambane,MZ,-23.86,35.38,80.13,87,82,11.45,broken clouds
42,Pevek,RU,69.7,170.31,-10.97,89,100,3.44,overcast clouds
43,Busselton,AU,-33.65,115.33,75.99,60,19,3.0,few clouds
44,Tekeli,KZ,44.83,78.82,16.3,76,71,8.32,broken clouds
45,Chicama,PE,-7.84,-79.15,68.0,88,75,16.11,mist
46,Airai,TL,-8.93,125.41,68.88,85,99,0.94,overcast clouds
47,Vaini,TO,-21.2,-175.2,82.4,78,90,9.17,overcast clouds
48,Mozarlandia,BR,-14.74,-50.57,79.45,66,86,4.32,overcast clouds
49,Verkhnechusovskiye Gorodki,RU,58.17,57.11,-13.95,88,15,2.71,few clouds
50,Nikolskoye,RU,59.7,30.79,28.4,92,90,15.66,light shower snow
51,Matara,LK,5.95,80.54,74.19,87,2,7.94,clear sky
52,Selfoss,IS,63.93,-21.0,24.01,94,99,5.01,overcast clouds
53,Fare,PF,-16.7,-151.02,81.73,76,93,14.29,overcast clouds
54,Xining,CN,36.62,101.77,3.11,80,24,3.02,few clouds
55,Miraflores,MX,19.22,-98.81,66.2,24,5,9.17,clear sky
56,Ushuaia,AR,-54.8,-68.3,51.8,80,75,26.4,light rain
57,Chokurdakh,RU,70.63,147.92,-34.35,85,99,7.74,overcast clouds
58,Saint-Leu,RE,-21.15,55.28,75.2,73,0,16.11,clear sky
