City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2020-12-26 14:39:46,-33.7,-53.46,77.5,57,96,14.12
1,Arraial Do Cabo,BR,2020-12-26 14:39:17,-22.97,-42.03,82.4,69,20,11.41
2,Georgetown,MY,2020-12-26 14:35:26,5.41,100.34,77.0,94,40,2.24
3,Jutai,BR,2020-12-26 14:43:44,-5.18,-68.9,80.35,79,100,1.05
4,Marsa Matruh,EG,2020-12-26 14:43:45,31.35,27.25,63.28,60,0,7.81
5,Peddapalli,IN,2020-12-26 14:43:45,18.62,79.37,66.04,38,0,0.27
6,Vaini,TO,2020-12-26 14:39:03,-21.2,-175.2,77.0,94,40,3.36
7,Torbay,CA,2020-12-26 14:35:15,47.67,-52.73,42.8,70,40,17.22
8,Cockburn Town,TC,2020-12-26 14:40:20,21.46,-71.14,78.46,69,1,7.47
9,Tuktoyaktuk,CA,2020-12-26 14:38:55,69.45,-133.04,5.0,92,20,11.41
10,Hithadhoo,MV,2020-12-26 14:39:25,-0.6,73.08,82.35,66,1,5.53
11,Avarua,CK,2020-12-26 14:39:14,-21.21,-159.78,69.8,100,85,2.24
12,Kodiak,US,2020-12-26 14:39:26,57.79,-152.41,30.2,86,20,5.82
13,Hambantota,LK,2020-12-26 14:40:01,6.12,81.12,78.8,88,75,4.7
14,Ushuaia,AR,2020-12-26 14:39:10,-54.8,-68.3,62.6,36,40,23.04
15,Khatanga,RU,2020-12-26 14:38:51,71.97,102.5,-29.49,83,67,8.43
16,Hermanus,ZA,2020-12-26 14:38:59,-34.42,19.23,73.99,73,0,8.01
17,Oranjemund,NA,2020-12-26 14:39:32,-28.55,16.43,69.1,72,8,16.44
18,Barrow,US,2020-12-26 14:38:55,71.29,-156.79,-11.2,76,1,6.93
19,Mataura,NZ,2020-12-26 14:38:57,-46.19,168.86,44.01,82,54,1.77
20,Punta Arenas,CL,2020-12-26 14:38:52,-53.15,-70.92,60.8,55,75,24.16
21,Albany,US,2020-12-26 14:35:20,42.6,-73.97,27.0,61,77,3.0
22,Rikitea,PF,2020-12-26 14:39:01,-23.12,-134.97,77.31,80,100,13.4
23,Geraldton,AU,2020-12-26 14:39:28,-28.77,114.6,71.6,78,90,21.92
24,Bluff,NZ,2020-12-26 14:39:04,-46.6,168.33,44.01,82,76,4.0
25,Kruisfontein,ZA,2020-12-26 14:40:02,-34.0,24.73,80.01,56,0,11.99
26,New Norfolk,AU,2020-12-26 14:38:52,-42.78,147.06,60.8,77,75,8.05
27,Leningradskiy,RU,2020-12-26 14:40:09,69.38,178.42,-9.27,85,0,6.71
28,Busselton,AU,2020-12-26 14:38:59,-33.65,115.33,57.0,82,5,1.99
29,Slobozia,MD,2020-12-26 14:43:50,46.73,29.71,37.4,86,90,4.7
30,Husavik,IS,2020-12-26 14:40:39,66.04,-17.34,23.0,85,0,6.02
31,Narsaq,GL,2020-12-26 14:39:26,60.92,-46.05,12.2,51,16,1.12
32,Imbituba,BR,2020-12-26 14:43:50,-28.24,-48.67,78.8,74,75,12.75
33,Cape Town,ZA,2020-12-26 14:38:56,-33.93,18.42,78.8,47,0,12.75
34,Masumbwe,TZ,2020-12-26 14:43:51,-3.63,32.18,77.09,69,46,1.72
35,Lucapa,AO,2020-12-26 14:43:51,-8.42,20.74,77.9,85,100,3.51
36,Bereda,ES,2020-12-26 14:43:51,43.27,-7.54,48.0,69,2,5.01
37,Bueu,ES,2020-12-26 14:43:52,42.32,-8.79,50.0,61,0,3.36
